Team Performance Metrics,Home Team,vs,Away Team,Country,OddsHome,DrawOdds,AwayOdds,Sofascore Rating Home Team,Sofascore Rating Away Team,Number of matches played Home team,Number of matches played Away team,Total goals scored in the season Home team,Total goals scored in the season Away team,Total goals conceded Home Team,Total goals conceded Away team,Total assists Home team,Total assists Away team,Goals per game Home team,Goals per game Away team,Goal conversion (Home team),Goal conversion (Away team),Shots on target per game Home team,Shots on target per game away team,Big chances per game home team,Big chances per game home team away team,Big chances missed per game Home team,Big chances missed per game Away team,Ball possession home team,Ball possession away team,Accurate passes per game home team,Accurate passes per game away team,Accurate long balls per game home team,Accurate long balls per game away team,Clean sheets Home team,Clean sheets Away team,Goals conceded per game home team,Goals conceded per game away team,Interceptions per game Home team,Interceptions per game Away team,Tackles per game home team,Tackles per game away team,Clearances per game Home team,Clearances per game away team,Penalty goals conceded Home team,Penalty goals conceded Away team,Saves per game,Saves per game,Duels won per game Home team,Duels won per game Away team,Fouls per game Home team,Fouls per game Away team,Offsides per game Home team,Offsides per game Away team,Goal kicks per game Home team,Goal kicks per game Away team,Total throw ins Home team,Total throw ins Away team,Total yellow cards awarded Home team,Total yellow cards awarded Away team,Total Red cards awarded Home team,Total Red cards awarded Away team,Form Home Team,Form Away Team,League Position Home Team,League Position Away Team,Total Points Home ,Total Points Away,Total shots per game Home team,Total shots per game Away team,Shots on target per game Home team,Shots on target per game Away team,Shots off target per game Home team,"Shots off target per game,", Blocked shots per game Home team, Blocked shots per game Away team,Corners per game Home team,Corners per game Away team,Free kicks per game Home team,Free kicks per game Away team,Hit woodwork Home team,Hit woodwork Away team,Counter attacks Home team,Counter attacks Away team,H2H (Lates to oldest)
1,St.Patricks,vs,Shelbourne,Ireland,2.25,3.15,3.15,6.94,6.93,20,20,26,23,22,22,16,13,1.3,1.2,,,4.5,3.9,1.6,1.7,0.9,1.1,54.10%,59.00%,78.10%,82.40%,51.70%,48.70%,9,4,1.1,1.1,7.5,7,13.1,13.7,21,22.5,1,1,3,3,52.40%,49.30%,8.9,10.3,1.9,2.2,6.3,7.3,21.4,17.9,2.1,2.3,3,2,WLDWD,LDWDL,4,6,20,20,13.9,15.6,4.5,3.9,4.8,6.1,4.7,5.6,5.8,4.8,11.4,8.8,7,5,8,7,"Shelbourne vs St.Patricks (2:1), St.Patricks vs Shelbourne (0:0), Shelbourne vs St.Patricks (2:3), St.Patricks vs Shelbourne (1:2),Shelbourne vs St.Patricks (1:0),"
2,River Plate,vs,Sportivo Carapegua,Paraguay,2.2,3.1,3.3,6.71,,8,,12,,13,,8,,1.5,,13%,,4.9,,2.4,,1.5,,37.80%,,71.90%,,43.30%,,1,,1.6,,11.8,,14,,23.4,,1,,2.9,,45.20%,,17.4,,1.5,,,,,,3.5,,0,,DWWDD,DLWLWD,8,7,12,12,11.1,,4.9,,4.8,,1.5,,3.4,,,,6,,3,,"River plate vs Carapegua (2:3), Carapegua vs River Plate (2:3), River plate vs Carapegua (1:1), River plate vs Carapegua (2:1), Carapegua vs River Plate (1:2)"
3,Chapecoense,vs,Ferroviaria,Brazil,2.1,3.05,3.6,6.93,6.93,11,11,14,11,10,10,9,8,1.3,1,,,4.7,4.7,2.2,1.2,1.4,0.8,46.90%,51.40%,80.40%,82.20%,45.50%,53.20%,3,3,0.9,0.9,8.2,8.2,12.3,16.8,29.6,26.5,1,1,4.1,2.5,48.40%,53.00%,10.7,11.5,1.5,1,10.4,9.7,21.2,20.4,1.6,2.3,0,2,LWLWDW,WDLDDW,9,13,11,11,14.3,15.2,4.7,4.7,6.3,5.5,3.3,4.9,4.5,4.4,8.9,15.8,2,2,9,7,None
4,Nautico,vs,Maringa,Brazil,2.3,3.25,2.95,,,8,8,8,13,5,10,6,4,1,1.6,0%,0%,,,,,,,52.80%,51.40%,80.00%,75.10%,55.40%,59.60%,4,1,0.6,1.3,32.9,29.6,,,,,,,2,2,41.00%,40.20%,12.8,15.9,1.4,1,8,8.6,,,2.5,3.1,2,2,LDLLWW,DDLDLW,14,7,9,13,9.8,15.8,,,,,,,4.6,5.8,,,,,,,None
5,Deportes Iquique,vs,Everton Cd,Chile,2.65,3.2,2.55,6.79,6.85,13,13,13,13,27,23,11,8,1,1,,,3.8,3.7,2.2,1.5,1.7,0.9,46.40%,52.20%,76.30%,81.90%,44.00%,53.50%,1,3,2.1,1.8,8.5,8.4,15.6,17.9,29.2,26.2,1,3,3.6,3,50.00%,50.30%,10,12.3,2.2,1.1,10.2,7.8,19.8,23,3.3,2.6,2,4,DLLLWD,DDWLLD,16,14,6,11,12.2,14.4,3.8,3.7,5.6,7,2.8,3.7,4.2,5.4,8.8,11.7,5,4,7,14,"Everton vs Iquique (1:1), Iquique vs Everton(1:1), Everton vs Iquique (1:0), Iquique vs Everton(2:2),  Iquique vs Everton(0:0),  Everton vs Iquique (2:0),"
6,Mostaganem,vs,Kabylie,Algeria,2.9,2.95,2.5,,,28,27,20,40,30,27,,,0.7,1.5,,,,,,,,,,,,,,,9,9,1.1,1,,,,,,,,,,,,,,,,,,,,,,,4,1,LWDDWL,WWLWWW,14,2,30,52,,,,,,,,,,,,,,,,,"Kabylie vs Mostaganem (2:1), Mostaganem vs Kabylie (0:1)"
7,Ulsan,vs,Mamelodi,Club World,3,3.2,2.45,7.01,6.85,19,12,23,9,19,8,18,5,1.2,0.8,,,4.5,3.3,2.1,1,1.2,0.6,60.20%,63.90%,82.80%,85.80%,49.20%,46.90%,7,5,1,0.7,8.3,6.3,18.8,14.1,25.5,16.7,1,0,2.8,2.1,48.70%,46.60%,11.3,12.8,1.7,1.8,7.3,8,20.4,19.8,1.9,1.9,1,3,LDWDWW,LDWWWW,4,3,0,0,,,4.5,3.3,,,,,,,,,,,,,None
8,Volta Redonda,vs,Avai,Brazil,2.45,3,2.95,6.93,6.97,11,11,5,15,9,9,4,9,0.5,1.4,,,3.9,4.5,1.1,2.4,1.1,2.4,57.80%,46.50%,84.30%,78.70%,53.40%,49.40%,4,5,0.8,0.8,7.5,9.4,14.6,14.9,22.5,30.4,2,1,2.9,3.4,51.40%,51.70%,12.1,11.8,1.5,3.5,8.4,7.4,20.2,22.5,2.5,2.2,0,1,LWDDDW,WLWDDL,16,7,10,19,18.1,13.5,3.9,4.5,7.1,5.6,7.1,3.5,5.6,4.9,15.4,11.1,7,3,3,18,"Avai vs Redonda (4:1), Redonda vs Avai (1:0)"
9,Wanderers,vs,Defensor Sporting,Uruguay,2.45,3.05,2.9,,,19,19,16,26,19,18,7,13,0.8,1.4,,,,,,,,,49.10%,54.40%,78.00%,81.20%,51.10%,55.50%,6,8,1,0.9,40.5,37.4,,,,,,,2.9,3.6,34.30%,38.50%,12,10.5,1.7,2,8.4,7,,,2.6,2.2,3,2,DDWWWL,WLWWLL,14,5,12,24,10.5,,,,,,,,3.7,,2.3,,,,,,"Montevideo vs Defensor (0:0),  Montevideo vs Defensor (1:1), Defensor vs Montevideo (1:1),  Defensor vs Montevideo 2:2),  Defensor vs Montevideo (3:0),  Defensor vs Montevideo (2:0)"
10,Curacao,vs,El Savador,Concaf ,2.3,3.1,3.4,7.08,6.94,6,6,15,12,3,6,12,7,2.5,2,,,5.8,4.7,2.2,2.2,0.8,0.8,57.80%,57.80%,80.10%,77.80%,53.50%,44.00%,4,2,0.5,1,4.5,8.2,14.7,16.7,15.7,12.8,0,0,2.8,2,50.50%,51.70%,16.3,14.7,2.5,3.2,6.7,6.3,19.5,27.8,1.5,2.3,0,0,WWWWWD,DWWWLW,4,3,0,0,13.7,14.2,5.8,4.7,4.8,5.3,3,4.2,5.2,7.5,12.7,13.7,2,4,8,1,"Curacao vs El Salvador (0:1), El Salvador vs Curacao (2:0), El Salvador vs Curacao (1:0), Curacao vs El Salvador (0:1),"
11,Dajeon Citizen,vs,Gimcheon Sangmu,South Korea,3.05,3.35,2.2,6.93,6.97,18,18,25,25,21,18,15,19,1.4,1.4,,,3.8,5.3,1.6,1.7,0.7,1,50.10%,46.90%,79.10%,79.30%,46.20%,46.80%,5,7,1.2,1,9.6,9.9,20.9,17.8,29.7,24.2,1,4,3.1,3.1,50.10%,49.10%,11.3,12.3,1.2,1.6,8.6,6.7,18.9,20.5,1.6,1.2,2,1,DLWLLD,WDLLDD,2,4,32,28,9.1,14.6,3.8,5.3,3,5.6,2.3,3.7,3.1,5.3,10.1,8.2,5,5,18,39,"Sangmu vs Daejeon(0:2), Sangmu vs Daejeon(2:2), Sangmu vs Daejeon(2:0), Daejeon vs Sangmu (0:0),  Sangmu vs Daejeon(0:4),Daejeon vs Sangmu (2:1)"
12,Jeju United,vs,Gwangju Sangmu,South Korea,2.8,2.85,2.7,6.91,6.84,18,18,19,17,23,20,14,9,1.1,0.9,,,3.7,3.6,1.4,1.6,0.7,0.8,51.10%,49.90%,79.30%,82.70%,45.30%,55.60%,6,5,1.3,1.1,8.6,7.4,15.4,15.4,27.1,24.7,0,3,3.3,2.9,50.70%,48.70%,12.7,11.1,1.6,1.2,7.3,7.2,22.7,17.2,1.7,2.3,2,0,WWWDDL,LDDLWD,9,8,22,24,12.2,11.2,3.7,3.6,5.3,4.8,3.2,2.8,3.9,3.9,11.7,12.6,4,5,15,10,"Gwangju vs Jeju(1:0), Jeju vs Gwangju (0:0), Gwangju vs Jeju(0:2),Gwangju vs Jeju(2:1), Jeju vs Gwangju (1:3), Jeju vs Gwangju (1:2)"
13,Henan Songshan,vs,Shanghai Port ,China,3.15,3.5,2.1,6.84,7.02,13,13,20,28,22,18,14,16,1.5,2.2,,,4.4,5.8,2.8,4.2,1.5,2.8,49.80%,58.90%,79.20%,85.00%,50.20%,52.90%,2,2,1.7,1.4,7.9,8.8,16.3,18.6,27.8,24.8,1,2,2.1,3.1,50.00%,49.70%,15.8,14.2,2,1.9,9,7.6,20.5,19,2.5,2.3,0,1,WWDWLL,DWDWWL,12,4,14,25,12.2,16.2,4.4,5.8,4.7,6.5,3.1,3.8,6,4.5,13.6,11.5,5,9,14,17,"Henan vs Shangai (0:1), Shangai vs Henan (3:1), Henan vs Shangai (3:1),  Shangai vs Henan (3:2),  Shangai vs Henan (1:3), Henan vs Shangai (1:2)"
14,Jaro,vs,AV Oulu,Finnland,2.55,3.1,2.75,,,10,11,8,13,14,25,6,8,0.8,1.2,,,,,,,,,44.30%,49.20%,76.00%,78.90%,52.60%,50.80%,3,1,1.4,2.3,43.4,47.2,,,,,,,2.9,3.4,36.60%,35.50%,12.8,11.8,3,2.1,7.8,5.8,,,1.5,1.7,1,1,LDLWDD,LDDWDL,10,12,8,5,8.1,9.6,,,,,,,3.2,3.5,2.8,1.7,,,,,"Jaro vs Oulu (2:0), Oulu vs Jaro (2:1), Jaro vs Oulu (2:3), Oulu vs Jaro (4:1), Jaro vs Oulu (4:3), Oulu vs Jaro (0:0)"
15,Danubio,vs,Racing M,Uruguay,2.8,2.95,2.6,,,19,19,19,19,18,12,10,9,1,1,,,,,,,,,47.60%,51.20%,72.60%,73.30%,52.70%,53.40%,4,8,0.9,0.6,40.9,39.6,,,,,,,3.1,2.5,37.30%,38.70%,10.3,12.1,1.3,0.9,6.5,7.3,,,2.2,2.1,3,3,DWWWWD,LLWWDD,13,6,12,23,10.3,13.3,,,,,,,4.4,3.9,2.6,2.5,,,,,"Danubio vs Racing club (0:0), Racing club vs Danubio (0:0),  Danubio vs Racing club (0:1), Danubio vs Racing club (0:2), Racing club vs Danubio (1:1), Danubio vs Racing club (2:0)"
16,Pachuca,vs,Salzburg,Club World,2.85,3.35,2.5,6.96,7.06,20,32,31,53,26,36,21,40,1.6,1.7,,,5.7,5.3,2.2,2.9,1.2,1.8,51.80%,62.40%,83.00%,83.40%,57.90%,57.80%,5,12,1.3,1.1,9.9,9.2,18.9,17.3,21.3,20.8,2,1,3.1,2.4,49.70%,51.30%,12.8,9.7,2.2,1.4,7.4,6.3,24.5,24.5,2.2,1.6,6,2,LDWLDW,WWLWLD,3,2,0,0,15.2,16.8,5.7,5.3,6.2,6.9,3.3,4.6,6.8,6,11.9,9.8,10,8,19,43,None
